,NIP,Cl_T
270,N201800517,3
271,N201800626,0
272,N201800742,3
273,N201800768,0
274,N201800808,0
275,N201800865,0
276,N201800916,3
277,N201801031,2
278,N201801047,3
279,N201801154,0
280,N201801296,3
281,N201801309,3
282,N201801322,3
283,N201801356,0
284,N201801449,0
285,N201801450,0
286,N201801472,0
287,N201801476,0
288,N201801509,0
289,N201801517,0
290,N201801535,0
291,N201801651,3
292,N201801668,0
293,N201801710,0
294,N201801734,0
295,N201801746,0
296,N201801774,3
297,N201801798,0
298,N201801840,0
299,N201801854,0
300,N201801864,0
301,N201801868,0
302,N201801916,0
303,N201801956,2
304,N201801958,0
305,N201801960,0
306,N201801987,0
307,N201802002,0
308,N201802083,0
309,N201802127,0
310,N201802143,0
311,N201802158,0
312,N201802212,0
313,N201802258,3
314,N201802263,3
315,N201802324,3
316,N201802363,0
317,N201802410,0
318,N201802424,0
319,N201802506,0
320,N201802518,0
321,N201802529,2
322,N201802532,0
323,N201802542,3
324,N201802598,3
325,N201802626,2
326,N201802653,0
327,N201802676,0
328,N201802694,0
329,N201802708,3
330,N201802729,0
331,N201802777,0
332,N201802856,3
333,N201802863,0
334,N201802894,0
335,N201802929,0
336,N201802938,3
337,N201802947,3
338,N201803028,0
339,N201803073,3
340,N201803145,3
341,N201803187,0
342,N201803204,0
343,N201803255,0
344,N201803283,0
345,N201803298,3
346,N201803347,3
347,N201803415,0
348,N201803419,0
349,N201803420,2
350,N201803436,3
351,N201803450,0
352,N201803452,3
353,N201803465,0
354,N201803500,3
355,N201803561,0
356,N201803567,0
357,N201803632,0
358,N201803635,0
359,N201803645,3
360,N201803672,0
361,N201803679,0
362,N201803684,0
363,N201803721,0
364,N201803763,0
365,N201803770,3
366,N201803775,3
367,N201803788,0
368,N201803799,2
369,N201803804,0
370,N201803826,1
371,N201803896,0
372,N201803904,1
373,N201803976,3
374,N201803999,1
375,N201804085,3
376,N201804104,1
377,N201804119,1
378,N201804153,1
379,N201804171,1
380,N201804215,0
381,N201804221,1
382,N201804229,1
383,N201804317,2
384,N201804329,1
385,N201804362,1
386,N201804388,3
387,N201804398,1
388,N201804400,3
389,N201804401,1
390,N201804420,3
391,N201804565,1
392,N201804566,1
393,N201804570,1
394,N201804586,1
395,N201804618,1
396,N201804632,1
397,N201804637,1
398,N201804656,2
399,N201804663,3
400,N201804681,1
401,N201804697,1
402,N201804723,1
403,N201804738,3
404,N201804739,1
405,N201804761,1
406,N201804767,1
407,N201804871,1
408,N201804914,1
409,N201804923,3
410,N201804955,1
411,N201804956,1
412,N201804973,1
413,N201805059,1
414,N201805065,1
415,N201805100,1
416,N201805109,3
417,N201805111,1
418,N201805117,1
419,N201805127,1
420,N201805132,3
421,N201805133,1
422,N201805166,1
423,N201805169,1
424,N201805195,3
425,N201805196,1
426,N201805209,1
427,N201805242,1
428,N201805250,1
429,N201805251,1
430,N201805263,3
431,N201805272,1
432,N201805284,3
433,N201805285,3
434,N201805301,2
435,N201805304,1
436,N201805313,1
437,N201805343,1
438,N201805357,2
439,N201805364,1
440,N201805448,1
441,N201805463,1
442,N201805471,2
443,N201805486,1
444,N201805499,1
445,N201805502,1
446,N201805561,1
447,N201805579,1
448,N201805589,1
449,N201805591,1
450,N201805647,2
451,N201805723,1
452,N201805724,1
453,N201805745,1
454,N201805746,1
455,N201805750,1
456,N201805760,1
457,N201805782,1
458,N201805787,1
459,N201805789,1
460,N201805831,1
461,N201805880,1
462,N201805884,3
463,N201805900,1
464,N201805928,1
465,N201805931,1
466,N201805934,3
467,N201805939,3
468,N201805962,2
469,N201805966,1
470,N201805973,3
471,N201805992,1
472,N201806034,1
473,N201806047,3
474,N201806067,1
475,N201806070,1
476,N201806114,2
477,N201806116,1
478,N201806148,1
479,N201806159,3
480,N201806174,1
481,N201806183,1
482,N201806193,1
483,N201806197,1
484,N201806241,1
485,N201806254,1
486,N201806256,1
487,N201806271,2
488,N201806283,1
489,N201806287,1
490,N201806295,1
491,N201806314,3
492,N201806335,1
493,N201806343,3
494,N201806345,3
495,N201806365,3
496,N201806370,3
