,NIP,Cl_T1
533,N201806682,1
534,N201806690,1
535,N201806717,3
536,N201806718,1
537,N201806731,0
538,N201806746,3
539,N201806753,1
540,N201806789,1
541,N201806798,1
542,N201806805,1
543,N201806854,1
544,N201806883,1
545,N201806902,3
546,N201806908,1
547,N201806931,1
548,N201806940,1
549,N201806946,3
550,N201807023,3
551,N201807030,2
552,N201807036,1
553,N201807038,1
554,N201807048,1
555,N201807061,1
556,N201807064,1
557,N201807068,0
558,N201807105,3
559,N201807130,1
560,N201807157,1
561,N201807177,1
562,N201807179,1
563,N201807197,1
564,N201807215,1
565,N201807220,1
566,N201807288,1
567,N201807295,0
568,N201807316,0
569,N201807350,0
570,N201807368,1
571,N201807376,3
572,N201807410,1
573,N201807435,1
574,N201807436,1
575,N201807452,3
576,N201900001,0
577,N201900002,1
578,N201900003,0
579,N201900004,1
580,N201900005,0
581,N201900006,1
582,N201900007,3
583,N201900008,0
584,N201900009,0
585,N201900010,0
586,N201900011,0
587,N201900012,0
588,N201900013,0
589,N201900014,0
590,N201900015,1
591,N201900016,1
592,N201900017,1
