,NIP,Cl_T1
494,N201806345,3
495,N201806365,3
496,N201806370,3
497,N201806407,0
498,N201806418,2
499,N201806419,0
500,N201806425,0
501,N201806433,0
502,N201806441,0
503,N201806442,0
504,N201806459,0
505,N201806465,3
506,N201806478,0
507,N201806479,0
508,N201806486,3
509,N201806488,0
510,N201806491,0
511,N201806496,0
512,N201806500,0
513,N201806507,0
514,N201806512,0
515,N201806524,0
516,N201806528,2
517,N201806548,3
518,N201806561,0
519,N201806566,3
520,N201806567,0
521,N201806569,0
522,N201806582,3
523,N201806586,0
524,N201806589,0
525,N201806591,0
526,N201806595,0
527,N201806601,0
528,N201806606,3
529,N201806627,0
530,N201806628,0
531,N201806643,2
532,N201806679,0
533,N201806682,0
534,N201806690,0
535,N201806717,3
536,N201806718,0
537,N201806731,2
538,N201806746,3
539,N201806753,0
540,N201806789,0
541,N201806798,0
542,N201806805,0
543,N201806854,0
544,N201806883,0
545,N201806902,3
546,N201806908,0
547,N201806931,0
548,N201806940,0
549,N201806946,3
550,N201807023,3
551,N201807030,4
552,N201807036,0
553,N201807038,0
554,N201807048,0
555,N201807061,0
556,N201807064,0
557,N201807068,2
558,N201807105,3
559,N201807130,0
560,N201807157,0
561,N201807177,0
562,N201807179,0
563,N201807197,0
564,N201807215,0
565,N201807220,0
566,N201807288,0
567,N201807295,2
568,N201807316,2
569,N201807350,2
570,N201807368,0
571,N201807376,3
572,N201807410,0
573,N201807435,0
574,N201807436,0
575,N201807452,3
576,N201900001,2
577,N201900002,0
578,N201900003,2
579,N201900004,0
580,N201900005,2
581,N201900006,0
582,N201900007,3
583,N201900008,2
584,N201900009,2
585,N201900010,2
586,N201900011,2
587,N201900012,2
588,N201900013,2
589,N201900014,2
590,N201900015,0
591,N201900016,0
592,N201900017,0
