,NIP,Cl_T
480,N201806174,2
481,N201806183,2
482,N201806193,2
483,N201806197,2
484,N201806241,2
485,N201806254,2
486,N201806256,2
487,N201806271,1
488,N201806283,2
489,N201806287,2
490,N201806295,2
491,N201806314,4
492,N201806335,2
493,N201806343,4
494,N201806345,4
495,N201806365,4
496,N201806370,4
497,N201806407,2
498,N201806418,1
499,N201806419,2
500,N201806425,2
501,N201806433,2
502,N201806441,2
503,N201806442,2
504,N201806459,2
505,N201806465,4
506,N201806478,2
507,N201806479,2
508,N201806486,4
509,N201806488,2
510,N201806491,2
511,N201806496,2
512,N201806500,2
513,N201806507,2
514,N201806512,2
515,N201806524,2
516,N201806528,1
517,N201806548,4
518,N201806561,2
519,N201806566,4
520,N201806567,2
521,N201806569,2
522,N201806582,4
523,N201806586,2
524,N201806589,2
525,N201806591,2
526,N201806595,2
527,N201806601,2
528,N201806606,4
529,N201806627,2
530,N201806628,2
531,N201806643,1
532,N201806679,2
533,N201806682,2
534,N201806690,2
535,N201806717,4
536,N201806718,2
537,N201806731,1
538,N201806746,4
539,N201806753,2
540,N201806789,2
541,N201806798,2
542,N201806805,2
543,N201806854,2
544,N201806883,2
545,N201806902,4
546,N201806908,2
547,N201806931,2
548,N201806940,2
549,N201806946,4
550,N201807023,4
551,N201807030,3
552,N201807036,2
553,N201807038,2
554,N201807048,2
555,N201807061,2
556,N201807064,2
557,N201807068,1
558,N201807105,4
559,N201807130,2
560,N201807157,2
561,N201807177,2
562,N201807179,2
563,N201807197,2
564,N201807215,2
565,N201807220,2
566,N201807288,2
567,N201807295,1
568,N201807316,1
569,N201807350,1
570,N201807368,2
571,N201807376,4
572,N201807410,2
573,N201807435,2
574,N201807436,2
575,N201807452,4
576,N201900001,1
577,N201900002,2
578,N201900003,1
579,N201900004,2
580,N201900005,1
581,N201900006,2
582,N201900007,4
583,N201900008,1
584,N201900009,1
585,N201900010,1
586,N201900011,1
587,N201900012,1
588,N201900013,1
589,N201900014,1
590,N201900015,2
591,N201900016,2
592,N201900017,2
