,NIP,Cl_T
578,N201705314,5
579,N201705382,5
580,N201705402,5
581,N201705404,4
582,N201705441,5
583,N201705492,0
584,N201705512,2
585,N201705552,5
586,N201705576,0
587,N201705657,0
588,N201705694,0
589,N201705786,4
590,N201705845,5
591,N201705896,0
592,N201705921,5
593,N201705940,5
594,N201706024,0
595,N201706031,5
596,N201706044,4
597,N201706065,0
598,N201706115,4
599,N201706141,5
600,N201706142,0
601,N201706192,0
602,N201706241,4
603,N201706265,4
604,N201706288,0
605,N201706437,0
606,N201706455,2
607,N201706483,5
608,N201706490,1
609,N201706511,0
610,N201706598,0
611,N201706657,4
612,N201706717,0
613,N201706727,5
614,N201706728,5
615,N201706805,4
616,N201706823,0
617,N201706868,5
618,N201706937,0
619,N201706982,4
620,N201706998,4
621,N201707031,5
622,N201707096,0
623,N201707102,5
624,N201707185,5
625,N201707219,0
626,N201707224,5
627,N201707227,5
628,N201800012,0
629,N201800036,0
630,N201800045,1
631,N201800053,4
632,N201800055,5
633,N201800109,5
634,N201800152,5
635,N201800199,5
636,N201800369,0
637,N201800411,5
638,N201800429,0
639,N201800444,0
640,N201800517,5
641,N201800525,0
642,N201800626,0
643,N201800660,5
644,N201800709,5
645,N201800720,0
646,N201800742,5
647,N201800768,0
648,N201800808,0
649,N201800823,4
650,N201800865,0
651,N201800874,4
652,N201800916,5
653,N201801031,4
654,N201801047,5
655,N201801109,5
656,N201801154,0
657,N201801174,5
658,N201801212,5
659,N201801248,0
660,N201801284,0
661,N201801296,5
662,N201801309,5
663,N201801322,5
664,N201801356,0
665,N201801408,0
666,N201801432,4
667,N201801449,0
668,N201801450,0
669,N201801472,0
670,N201801474,0
671,N201801476,0
672,N201801509,0
673,N201801517,0
674,N201801535,0
675,N201801651,5
676,N201801668,0
677,N201801710,0
678,N201801734,0
679,N201801736,0
680,N201801746,0
681,N201801774,5
682,N201801798,0
683,N201801821,5
684,N201801833,5
685,N201801840,0
686,N201801854,0
687,N201801864,0
688,N201801868,0
689,N201801916,0
690,N201801956,4
691,N201801958,0
692,N201801960,0
693,N201801987,0
694,N201801999,4
695,N201802002,0
696,N201802083,0
697,N201802120,0
698,N201802127,0
699,N201802143,0
700,N201802150,5
701,N201802158,0
702,N201802212,0
703,N201802258,5
704,N201802260,5
705,N201802263,5
706,N201802314,0
707,N201802317,0
708,N201802323,0
709,N201802324,5
710,N201802363,0
711,N201802393,0
712,N201802410,0
713,N201802424,0
714,N201802492,0
715,N201802506,0
716,N201802518,0
717,N201802519,0
718,N201802529,4
719,N201802532,0
720,N201802542,5
721,N201802598,5
722,N201802626,2
723,N201802633,0
724,N201802653,0
725,N201802676,0
726,N201802691,5
727,N201802694,0
728,N201802708,5
729,N201802724,5
730,N201802729,0
731,N201802777,0
732,N201802802,0
733,N201802836,0
734,N201802854,5
735,N201802856,5
736,N201802863,0
737,N201802894,0
738,N201802929,0
739,N201802938,5
740,N201802947,5
741,N201802952,2
742,N201802958,0
743,N201803002,5
744,N201803014,0
745,N201803028,0
746,N201803066,5
747,N201803073,5
748,N201803093,5
749,N201803120,2
750,N201803145,5
751,N201803152,5
752,N201803187,0
753,N201803188,0
754,N201803204,0
755,N201803217,0
756,N201803255,0
757,N201803283,0
758,N201803298,5
759,N201803311,0
760,N201803332,4
