,NIP,Cl_T
601,N201706192,1
602,N201706241,3
603,N201706265,3
604,N201706288,1
605,N201706437,1
606,N201706455,0
607,N201706483,2
608,N201706490,5
609,N201706511,1
610,N201706598,1
611,N201706657,3
612,N201706717,1
613,N201706727,2
614,N201706728,2
615,N201706805,3
616,N201706823,1
617,N201706868,2
618,N201706937,1
619,N201706982,3
620,N201706998,3
621,N201707031,2
622,N201707096,1
623,N201707102,2
624,N201707185,2
625,N201707219,1
626,N201707224,2
627,N201707227,2
628,N201800012,1
629,N201800036,1
630,N201800045,5
631,N201800053,3
632,N201800055,2
633,N201800109,2
634,N201800152,2
635,N201800199,2
636,N201800369,1
637,N201800411,2
638,N201800429,1
639,N201800444,1
640,N201800517,2
641,N201800525,1
642,N201800626,1
643,N201800660,2
644,N201800709,2
645,N201800720,1
646,N201800742,2
647,N201800768,1
648,N201800808,1
649,N201800823,3
650,N201800865,1
651,N201800874,3
652,N201800916,2
653,N201801031,3
654,N201801047,2
655,N201801109,2
656,N201801154,1
657,N201801174,2
658,N201801212,2
659,N201801248,1
660,N201801284,1
661,N201801296,2
662,N201801309,2
663,N201801322,2
664,N201801356,1
665,N201801408,1
666,N201801432,3
667,N201801449,1
668,N201801450,1
669,N201801472,1
670,N201801474,1
671,N201801476,1
672,N201801509,1
673,N201801517,1
674,N201801535,1
675,N201801651,2
676,N201801668,1
677,N201801710,1
678,N201801734,1
679,N201801736,1
680,N201801746,1
681,N201801774,2
682,N201801798,1
683,N201801821,2
684,N201801833,2
685,N201801840,1
686,N201801854,1
687,N201801864,1
688,N201801868,1
689,N201801916,1
690,N201801956,3
691,N201801958,1
692,N201801960,1
693,N201801987,1
694,N201801999,3
695,N201802002,1
696,N201802083,1
697,N201802120,1
698,N201802127,1
699,N201802143,1
700,N201802150,2
701,N201802158,1
702,N201802212,1
703,N201802258,2
704,N201802260,2
705,N201802263,2
706,N201802314,1
707,N201802317,1
708,N201802323,1
709,N201802324,2
710,N201802363,1
711,N201802393,1
712,N201802410,1
713,N201802424,1
714,N201802492,1
715,N201802506,1
716,N201802518,1
717,N201802519,1
718,N201802529,3
719,N201802532,1
720,N201802542,2
721,N201802598,2
722,N201802626,0
723,N201802633,1
724,N201802653,1
725,N201802676,1
726,N201802691,2
727,N201802694,1
728,N201802708,2
729,N201802724,2
730,N201802729,1
731,N201802777,1
732,N201802802,1
733,N201802836,1
734,N201802854,2
735,N201802856,2
736,N201802863,1
737,N201802894,1
738,N201802929,1
739,N201802938,2
740,N201802947,2
741,N201802952,0
742,N201802958,1
743,N201803002,2
744,N201803014,1
745,N201803028,1
746,N201803066,2
747,N201803073,2
748,N201803093,2
749,N201803120,0
750,N201803145,2
751,N201803152,2
752,N201803187,1
753,N201803188,1
754,N201803204,1
755,N201803217,1
756,N201803255,1
757,N201803283,1
758,N201803298,2
759,N201803311,1
760,N201803332,3
761,N201803347,2
762,N201803371,1
763,N201803415,1
764,N201803419,1
765,N201803420,3
766,N201803436,2
767,N201803450,1
768,N201803452,2
769,N201803456,1
770,N201803465,1
771,N201803468,2
772,N201803494,2
773,N201803500,2
774,N201803520,1
775,N201803528,2
776,N201803561,1
777,N201803567,1
778,N201803618,2
779,N201803632,1
780,N201803635,1
781,N201803645,2
782,N201803672,1
783,N201803679,1
784,N201803684,1
785,N201803686,1
786,N201803697,1
787,N201803721,1
788,N201803724,1
789,N201803763,1
790,N201803767,1
791,N201803770,2
792,N201803775,2
793,N201803776,0
794,N201803788,1
795,N201803799,3
796,N201803804,1
797,N201803806,1
798,N201803826,5
799,N201803896,1
800,N201803897,2
801,N201803904,5
802,N201803964,3
803,N201803976,2
804,N201803999,5
805,N201804032,5
806,N201804085,2
807,N201804104,5
808,N201804110,5
809,N201804119,5
810,N201804153,5
811,N201804171,5
812,N201804215,1
813,N201804221,5
814,N201804223,5
815,N201804229,5
816,N201804307,2
817,N201804317,3
818,N201804328,5
819,N201804329,5
820,N201804352,5
821,N201804353,5
822,N201804362,5
823,N201804384,5
824,N201804388,2
825,N201804398,5
826,N201804400,2
827,N201804401,5
828,N201804406,2
829,N201804420,2
830,N201804428,5
831,N201804453,5
832,N201804465,5
833,N201804469,2
834,N201804530,5
835,N201804565,5
836,N201804566,5
837,N201804570,5
838,N201804581,2
839,N201804586,5
840,N201804618,5
841,N201804632,5
842,N201804637,5
843,N201804651,5
844,N201804656,0
845,N201804663,2
846,N201804681,5
847,N201804697,5
848,N201804723,5
849,N201804738,2
850,N201804739,5
851,N201804755,5
852,N201804761,5
853,N201804767,5
854,N201804780,5
855,N201804813,5
856,N201804852,5
857,N201804871,5
858,N201804883,0
859,N201804888,3
860,N201804914,5
861,N201804921,5
862,N201804923,2
863,N201804926,5
864,N201804955,5
865,N201804956,5
866,N201804959,5
867,N201804973,5
868,N201805045,5
869,N201805059,5
870,N201805065,5
871,N201805078,5
872,N201805100,5
873,N201805107,2
874,N201805108,5
875,N201805109,2
876,N201805111,5
877,N201805117,5
878,N201805127,5
879,N201805132,2
880,N201805133,5
881,N201805151,5
882,N201805166,5
883,N201805167,5
884,N201805168,5
885,N201805169,5
886,N201805184,5
887,N201805195,2
888,N201805196,5
889,N201805198,2
890,N201805209,5
891,N201805242,5
892,N201805250,5
893,N201805251,5
894,N201805255,5
895,N201805263,2
896,N201805272,5
897,N201805284,2
898,N201805285,2
899,N201805292,5
900,N201805301,0
901,N201805304,5
902,N201805305,5
903,N201805313,5
904,N201805326,0
905,N201805332,2
906,N201805343,5
907,N201805356,2
908,N201805357,3
909,N201805364,5
910,N201805381,2
911,N201805388,5
912,N201805429,5
913,N201805440,5
914,N201805448,5
915,N201805463,5
916,N201805471,0
917,N201805475,0
918,N201805486,5
919,N201805499,5
920,N201805502,5
921,N201805507,5
922,N201805524,5
923,N201805554,0
924,N201805561,5
925,N201805569,5
926,N201805579,5
927,N201805589,5
928,N201805591,5
929,N201805613,5
930,N201805622,5
931,N201805626,5
932,N201805634,5
933,N201805647,0
934,N201805658,2
935,N201805693,5
936,N201805723,5
937,N201805724,5
938,N201805739,5
939,N201805745,5
940,N201805746,5
941,N201805747,5
942,N201805750,5
943,N201805760,5
944,N201805767,5
945,N201805773,5
946,N201805775,5
947,N201805782,5
948,N201805787,5
949,N201805789,5
950,N201805798,5
951,N201805831,5
952,N201805833,5
953,N201805836,5
954,N201805847,2
955,N201805880,5
956,N201805884,2
957,N201805900,5
958,N201805928,5
959,N201805931,5
960,N201805934,2
961,N201805939,2
962,N201805955,5
963,N201805962,0
964,N201805966,5
965,N201805972,5
966,N201805973,2
967,N201805992,5
968,N201806034,5
969,N201806047,2
970,N201806055,5
971,N201806061,2
972,N201806067,5
973,N201806070,5
974,N201806114,0
975,N201806116,5
976,N201806148,5
977,N201806159,2
978,N201806174,5
979,N201806183,5
980,N201806185,5
981,N201806186,5
982,N201806193,5
983,N201806197,5
984,N201806241,5
985,N201806254,5
986,N201806256,5
987,N201806271,0
988,N201806283,5
989,N201806285,0
990,N201806287,5
991,N201806295,5
992,N201806296,5
993,N201806297,5
994,N201806314,2
995,N201806331,5
996,N201806335,5
997,N201806338,0
998,N201806343,2
999,N201806345,2
1000,N201806349,5
1001,N201806356,5
1002,N201806365,2
1003,N201806370,2
1004,N201806397,5
1005,N201806398,5
1006,N201806400,5
1007,N201806407,5
1008,N201806408,2
1009,N201806418,0
1010,N201806419,5
1011,N201806425,5
1012,N201806433,5
1013,N201806437,5
1014,N201806441,5
1015,N201806442,5
1016,N201806459,5
1017,N201806465,2
1018,N201806474,5
1019,N201806478,5
1020,N201806479,5
1021,N201806486,2
1022,N201806488,5
1023,N201806491,5
1024,N201806496,5
1025,N201806500,5
1026,N201806507,5
1027,N201806512,5
1028,N201806524,5
1029,N201806528,0
1030,N201806541,5
1031,N201806548,2
1032,N201806561,5
1033,N201806566,2
1034,N201806567,5
1035,N201806569,5
1036,N201806577,5
1037,N201806578,5
1038,N201806582,2
1039,N201806586,5
1040,N201806589,5
1041,N201806590,5
1042,N201806591,5
1043,N201806595,5
1044,N201806597,5
1045,N201806601,5
1046,N201806606,2
1047,N201806627,5
1048,N201806628,5
1049,N201806639,5
1050,N201806643,0
1051,N201806652,5
1052,N201806655,5
1053,N201806679,5
1054,N201806682,5
1055,N201806690,5
1056,N201806717,2
1057,N201806718,5
1058,N201806731,0
1059,N201806739,5
1060,N201806746,2
1061,N201806749,5
1062,N201806753,5
1063,N201806767,2
1064,N201806770,5
1065,N201806778,5
1066,N201806786,2
1067,N201806789,5
1068,N201806796,5
1069,N201806798,5
1070,N201806804,2
1071,N201806805,5
1072,N201806831,0
1073,N201806851,5
1074,N201806854,5
1075,N201806873,5
1076,N201806879,5
1077,N201806883,5
1078,N201806895,5
1079,N201806902,2
1080,N201806903,5
1081,N201806908,5
1082,N201806911,5
1083,N201806918,5
1084,N201806931,5
1085,N201806938,5
1086,N201806940,5
1087,N201806946,2
1088,N201806947,5
1089,N201806956,2
1090,N201806993,0
1091,N201806996,5
1092,N201807009,2
1093,N201807015,5
1094,N201807023,2
1095,N201807030,4
1096,N201807036,5
1097,N201807038,5
1098,N201807044,5
1099,N201807048,5
1100,N201807060,5
1101,N201807061,5
1102,N201807064,5
1103,N201807067,5
1104,N201807068,0
1105,N201807070,5
1106,N201807077,2
1107,N201807091,0
1108,N201807092,2
1109,N201807105,2
1110,N201807130,5
1111,N201807136,5
1112,N201807140,0
1113,N201807157,5
1114,N201807163,5
1115,N201807177,5
1116,N201807179,5
1117,N201807191,5
1118,N201807197,5
1119,N201807209,5
1120,N201807215,5
1121,N201807220,5
1122,N201807224,5
1123,N201807231,0
1124,N201807236,5
1125,N201807248,5
1126,N201807275,5
1127,N201807288,5
1128,N201807295,0
1129,N201807310,5
1130,N201807316,0
1131,N201807335,5
1132,N201807340,5
1133,N201807347,5
1134,N201807348,5
1135,N201807350,0
1136,N201807368,5
1137,N201807376,2
1138,N201807389,5
1139,N201807395,5
1140,N201807407,5
1141,N201807409,5
1142,N201807410,5
1143,N201807421,5
1144,N201807424,2
1145,N201807435,5
1146,N201807436,5
1147,N201807437,5
1148,N201807452,2
1149,N201900001,0
1150,N201900002,5
1151,N201900003,0
1152,N201900004,5
1153,N201900005,0
1154,N201900006,5
1155,N201900007,2
1156,N201900008,0
1157,N201900009,0
1158,N201900010,0
1159,N201900011,0
1160,N201900012,0
1161,N201900013,0
1162,N201900014,0
1163,N201900015,5
1164,N201900016,5
1165,N201900017,5
1166,N201900018,0
1167,N201900019,0
1168,N201900020,0
1169,N201900021,5
1170,N201900022,5
1171,N201900023,5
1172,N201900024,0
1173,N201900026,5
1174,N201900027,5
1175,N201900028,0
1176,N201900029,5
1177,N201900030,0
1178,N201900032,0
1179,N201900033,0
1180,N201900034,0
1181,N201900036,5
1182,N201900037,0
1183,N201900038,5
1184,N201900039,0
1185,N201900040,5
1186,N201900041,5
1187,N201900042,5
1188,N201900043,5
1189,N201900044,5
1190,N201900045,5
1191,N201900046,5
1192,N201900047,5
1193,N201900049,2
1194,N201900053,0
1195,N201900054,0
1196,N201900055,5
1197,N201900056,0
1198,N201900057,0
1199,N201900058,0
1200,N201900413,5
