,NIP,Cl_T3
559,N201807130,4
560,N201807157,4
561,N201807177,4
562,N201807179,4
563,N201807197,4
564,N201807215,4
565,N201807220,4
566,N201807288,4
567,N201807295,3
568,N201807316,3
569,N201807350,3
570,N201807368,4
571,N201807376,2
572,N201807410,4
573,N201807435,4
574,N201807436,4
575,N201807452,2
576,N201900001,3
577,N201900002,4
578,N201900003,3
579,N201900004,4
580,N201900005,3
581,N201900006,4
582,N201900007,2
583,N201900008,3
584,N201900009,3
585,N201900010,3
586,N201900011,3
587,N201900012,3
588,N201900013,3
589,N201900014,3
590,N201900015,4
591,N201900016,4
592,N201900017,4
