,NIP,Cl_T
579,N201900612,4
580,N201900613,0
581,N201900614,0
582,N201900615,4
583,N201900616,0
584,N201900617,4
585,N201900618,4
586,N201900619,4
587,N201900620,4
588,N201900621,4
589,N201900622,4
590,N201900623,4
591,N201900624,0
592,N201900625,4
593,N201900626,4
594,N201900627,4
595,N201900628,4
596,N201900629,4
597,N201900630,4
598,N201900631,4
599,N201900632,4
600,N201900633,0
601,N201900634,0
602,N201900635,4
603,N201900636,4
604,N201900637,3
605,N201900638,0
606,N201900639,4
607,N201900640,4
608,N201900641,4
609,N201900642,4
610,N201900643,0
611,N201900644,0
612,N201900645,0
613,N201900646,3
614,N201900647,4
615,N201900648,0
616,N201900649,4
617,N201900650,4
618,N201900651,4
619,N201900652,0
620,N201900653,0
621,N201900654,4
622,N201900655,0
623,N201900657,4
624,N201900658,0
625,N201900659,0
626,N201900661,4
627,N201900662,0
628,N201900663,4
629,N201900664,4
630,N201900666,0
631,N201900667,3
632,N201900668,0
633,N201900669,0
634,N201900670,4
635,N201900671,0
636,N201900672,0
637,N201900673,0
638,N201900674,0
639,N201900676,0
640,N201900677,0
641,N201900678,4
642,N201900679,4
643,N201900680,4
644,N201900681,0
645,N201900682,0
646,N201900683,0
647,N201900684,0
648,N201900685,4
649,N201900686,0
650,N201900688,4
651,N201900689,3
652,N201900690,3
653,N201900692,4
654,N201900693,4
655,N201900694,4
656,N201900695,4
657,N201900696,4
658,N201900697,4
659,N201900698,4
660,N201900699,4
661,N201900700,4
662,N201900994,4
663,N201904729,3
664,N201906335,3
