,NIP,Cluster,Cluster2,X_abscisse
97,N201106871,0,3,66.94772344013553
171,N201504689,0,3,67.11635750421648
266,N201800055,0,3,67.28499156829743
336,N201802938,0,3,67.45362563237838
280,N201801296,0,3,67.62225969645932
240,N201705121,0,3,67.79089376054027
282,N201801322,0,3,67.95952782462122
154,N201500660,0,3,68.12816188870217
49,N200601652,0,3,68.29679595278311
252,N201706483,0,3,68.46543001686406
102,N201201829,0,3,68.63406408094501
269,N201800199,0,3,68.80269814502596
332,N201802856,0,3,68.9713322091069
339,N201803073,0,3,69.13996627318785
121,N201304742,0,3,69.3086003372688
321,N201802529,0,3,69.47723440134975
337,N201802947,0,3,69.6458684654307
129,N201306207,0,3,69.81450252951164
8,N198706532,0,3,69.98313659359259
81,N201003278,0,3,70.15177065767354
225,N201702654,0,3,70.32040472175449
232,N201703918,0,3,70.48903878583543
168,N201503990,0,3,70.65767284991638
87,N201006939,0,3,70.82630691399733
170,N201504323,0,3,70.99494097807828
54,N200701980,0,3,71.16357504215922
265,N201800053,0,3,71.33220910624017
189,N201601533,0,3,71.50084317032112
17,N199500115,0,3,71.66947723440207
278,N201801047,0,3,71.83811129848301
143,N201402874,0,3,72.00674536256396
340,N201803145,0,3,72.17537942664491
45,N200504430,0,3,72.34401349072586
229,N201703570,0,3,72.5126475548068
192,N201602132,0,3,72.68128161888775
243,N201705512,0,3,72.8499156829687
73,N200903897,0,3,73.01854974704965
366,N201803775,0,3,73.1871838111306
352,N201803452,0,3,73.35581787521154
303,N201801956,0,3,73.52445193929249
314,N201802263,0,3,73.69308600337344
365,N201803770,0,3,73.86172006745439
324,N201802598,0,3,74.03035413153533
315,N201802324,0,3,74.19898819561628
249,N201706141,0,3,74.36762225969723
173,N201505285,0,3,74.53625632377818
221,N201702058,0,3,74.70489038785912
178,N201506798,0,3,74.87352445194007
323,N201802542,0,3,75.04215851602102
325,N201802626,0,3,75.21079258010197
346,N201803347,0,3,75.37942664418291
350,N201803436,0,3,75.54806070826386
284,N201801449,1,0,75.71669477234481
312,N201802212,1,0,75.88532883642576
367,N201803788,1,0,76.0539629005067
371,N201803896,1,0,76.22259696458765
330,N201802729,1,0,76.3912310286686
356,N201803567,1,0,76.55986509274955
449,N201805591,1,1,76.7284991568305
477,N201806116,1,1,76.89713322091144
533,N201806682,1,1,77.06576728499239
520,N201806567,1,1,77.23440134907334
543,N201806854,1,1,77.40303541315429
407,N201804871,1,1,77.57166947723523
497,N201806407,1,1,77.74030354131618
