,NIP,Concat_Cl_P,X_abscisse
228,N201705187,1,18.984179850124896
229,N201801746,1,19.06744379683597
230,N201307968,1,19.150707743547045
231,N199703916,1,19.23397169025812
232,N201806034,1,19.317235636969194
233,N201006229,1,19.40049958368027
234,N201805931,1,19.48376353039134
235,N201805502,1,19.567027477102414
236,N201806256,1,19.65029142381349
237,N201806491,1,19.733555370524563
238,N201806283,1,19.816819317235637
239,N201900044,1,19.900083263946712
240,N201805745,1,19.983347210657787
241,N201201037,1,20.06661115736886
242,N201806437,1,20.149875104079936
243,N201806690,1,20.233139050791006
244,N201805723,1,20.31640299750208
245,N201806442,1,20.399666944213156
246,N201806183,1,20.48293089092423
247,N201600638,1,20.566194837635305
248,N201502877,1,20.64945878434638
249,N201506332,1,20.732722731057454
250,N201805169,1,20.815986677768528
251,N201804739,1,20.899250624479603
252,N201705552,1,20.982514571190674
253,N201805880,1,21.065778517901748
254,N201803002,1,21.149042464612823
255,N201806479,1,21.232306411323897
256,N200303693,1,21.31557035803497
257,N201805955,1,21.398834304746046
258,N201806197,1,21.48209825145712
259,N201804229,1,21.565362198168195
260,N200704463,1,21.64862614487927
261,N201803298,1,21.73189009159034
262,N201807191,1,21.815154038301415
263,N201806496,1,21.89841798501249
264,N201806419,1,21.981681931723564
265,N201801174,1,22.06494587843464
266,N201806148,1,22.148209825145713
267,N201503772,1,22.231473771856788
268,N201805787,1,22.314737718567862
269,N201805589,1,22.398001665278937
270,N200802981,1,22.481265611990008
271,N199702998,1,22.564529558701082
272,N200404325,1,22.647793505412157
273,N201806296,1,22.73105745212323
274,N201805166,1,22.814321398834306
275,N201806488,1,22.89758534554538
276,N201801774,1,22.980849292256455
277,N201801651,1,23.06411323896753
278,N201805364,1,23.147377185678604
279,N199202365,1,23.230641132389675
280,N201805789,1,23.31390507910075
281,N201805579,1,23.397169025811824
282,N201806798,1,23.480432972522898
283,N201802150,1,23.563696919233973
284,N201806500,1,23.646960865945047
285,N201900045,1,23.73022481265612
286,N201806940,1,23.813488759367196
287,N201806628,1,23.896752706078267
288,N201802938,1,23.98001665278934
289,N198600228,1,24.063280599500416
290,N201807064,1,24.14654454621149
291,N201305984,1,24.229808492922565
292,N201806433,1,24.31307243963364
293,N201806753,1,24.396336386344714
294,N201800199,1,24.47960033305579
295,N201803073,1,24.562864279766863
296,N201805263,1,24.646128226477934
297,N201003278,1,24.72939217318901
298,N201805285,1,24.812656119900083
299,N201203378,1,24.895920066611158
300,N201800916,1,24.979184013322232
301,N198502208,1,25.062447960033307
302,N201805884,1,25.14571190674438
303,N201806524,1,25.228975853455456
304,N201806778,1,25.31223980016653
305,N201807048,1,25.3955037468776
306,N201804923,1,25.478767693588676
307,N201803452,1,25.56203164029975
308,N201806595,1,25.645295587010825
309,N201803770,1,25.7285595337219
310,N200904972,1,25.811823480432974
311,N201802598,1,25.89508742714405
312,N201804420,1,25.978351373855123
313,N201807275,1,26.061615320566197
314,N201806345,1,26.14487926727727
315,N201806606,1,26.228143213988343
316,N201900004,1,26.311407160699417
317,N200302052,1,26.394671107410492
318,N201805973,1,26.477935054121566
319,N201900055,1,26.56119900083264
320,N201804663,1,26.644462947543715
321,N201804307,1,26.72772689425479
322,N201804388,1,26.810990840965864
323,N201805939,1,26.894254787676935
324,N201806804,1,26.97751873438801
325,N201806159,1,27.060782681099084
326,N201806902,1,27.14404662781016
327,N201806582,1,27.227310574521233
328,N201806314,1,27.310574521232308
329,N201806746,1,27.393838467943382
330,N200304007,2,27.477102414654457
331,N200504397,2,27.56036636136553
332,N201800012,2,27.643630308076602
333,N201203100,2,27.726894254787677
334,N200802092,2,27.81015820149875
335,N201704974,2,27.893422148209826
336,N201704212,2,27.9766860949209
337,N198410788,2,28.059950041631975
338,N201705404,2,28.14321398834305
339,N200000791,2,28.226477935054124
340,N200600841,2,28.309741881765195
341,N201706288,2,28.39300582847627
342,N201500687,2,28.476269775187344
343,N201602690,2,28.55953372189842
344,N200904623,2,28.642797668609493
345,N201503587,2,28.726061615320567
346,N201602947,2,28.809325562031642
347,N201800720,2,28.892589508742716
348,N198906785,2,28.97585345545379
349,N200702703,2,29.059117402164862
350,N201304664,2,29.142381348875936
351,N201502816,2,29.22564529558701
352,N201604379,2,29.308909242298085
353,N201706598,2,29.39217318900916
354,N201405144,2,29.475437135720234
355,N201704399,2,29.55870108243131
356,N201705694,2,29.641965029142384
357,N201706192,2,29.725228975853458
358,N201706657,2,29.80849292256453
359,N199900994,2,29.891756869275603
360,N201702512,2,29.975020815986678
361,N200200426,2,30.058284762697753
362,N199802197,2,30.141548709408827
363,N200201878,2,30.2248126561199
364,N200900380,2,30.308076602830976
365,N200500254,2,30.39134054954205
366,N201705137,2,30.474604496253125
367,N201800874,2,30.557868442964196
368,N201404316,2,30.64113238967527
369,N201305679,2,30.724396336386345
370,N201705896,2,30.80766028309742
371,N201801031,2,30.890924229808494
372,N201504699,2,30.97418817651957
373,N201703625,2,31.057452123230643
374,N201605997,2,31.140716069941718
375,N201505424,2,31.223980016652792
376,N201304431,2,31.307243963363863
377,N201700888,2,31.390507910074938
378,N201607001,2,31.473771856786012
379,N201202658,2,31.557035803497087
380,N201800823,2,31.64029975020816
381,N201503063,2,31.723563696919236
382,N201404524,2,31.80682764363031
383,N200401550,2,31.890091590341385
384,N199904079,2,31.973355537052456
385,N200302575,2,32.056619483763534
386,N201800036,2,32.139883430474605
387,N201801408,2,32.22314737718568
388,N201205940,2,32.306411323896754
389,N201601143,2,32.389675270607825
390,N201401275,2,32.4729392173189
391,N201306481,2,32.556203164029974
392,N201505396,2,32.63946711074105
393,N201700132,2,32.72273105745212
394,N201703896,2,32.8059950041632
395,N201605613,2,32.88925895087427
396,N201504157,2,32.97252289758535
397,N201403891,2,33.05578684429642
398,N201703055,2,33.13905079100749
399,N201502664,2,33.22231473771857
400,N201600746,2,33.30557868442964
401,N198701208,2,33.38884263114072
402,N200401653,2,33.47210657785179
403,N200802253,2,33.55537052456287
404,N201802424,2,33.63863447127394
405,N201504019,2,33.72189841798502
406,N201505841,2,33.80516236469609
407,N201200769,2,33.88842631140716
408,N201605563,2,33.97169025811824
409,N201706265,2,34.05495420482931
410,N201705029,2,34.138218151540386
411,N201400228,2,34.22148209825146
412,N200302044,2,34.304746044962535
413,N201500553,2,34.388009991673606
414,N201504209,2,34.471273938384684
415,N201703039,2,34.554537885095755
416,N201600522,2,34.637801831806826
417,N201303503,2,34.721065778517904
418,N201706044,2,34.804329725228975
419,N200903552,2,34.88759367194005
420,N201505757,2,34.970857618651124
421,N201602001,2,35.0541215653622
422,N201706805,2,35.13738551207327
423,N201704922,2,35.22064945878435
424,N201506292,2,35.30391340549542
425,N201406988,2,35.38717735220649
426,N201304833,2,35.47044129891757
427,N201802393,2,35.55370524562864
428,N198900219,2,35.63696919233972
429,N201702363,2,35.72023313905079
430,N201206576,2,35.80349708576187
431,N201705786,2,35.88676103247294
432,N201801999,2,35.97002497918402
433,N201803420,2,36.05328892589509
434,N201500260,2,36.13655287260616
435,N201505403,2,36.21981681931724
436,N201400367,2,36.30308076602831
437,N201402654,2,36.38634471273939
438,N201804317,2,36.46960865945046
439,N201602410,2,36.552872606161536
440,N201205846,2,36.63613655287261
441,N201802492,2,36.719400499583685
442,N201402294,2,36.802664446294756
443,N200104074,2,36.88592839300583
444,N201805108,2,36.969192339716905
445,N201706115,2,37.052456286427976
446,N201706241,2,37.135720233139054
447,N201106594,2,37.218984179850125
448,N201602601,2,37.3022481265612
449,N201700788,2,37.385512073272274
450,N200702658,2,37.46877601998335
451,N201505459,2,37.55203996669442
452,N200701005,2,37.635303913405494
453,N201805775,2,37.71856786011657
454,N201606342,2,37.80183180682764
455,N201805117,2,37.88509575353872
456,N200403465,2,37.96835970024979
457,N201805928,2,38.05162364696087
458,N201805561,2,38.13488759367194
459,N201805357,2,38.21815154038302
460,N201400002,2,38.30141548709409
461,N201805613,2,38.38467943380516
462,N201803419,2,38.46794338051624
463,N201406618,2,38.55120732722731
464,N201806643,2,38.63447127393839
465,N200702938,2,38.71773522064946
466,N201700195,2,38.80099916736054
467,N201700324,2,38.88426311407161
468,N201700156,2,38.96752706078268
469,N201706982,2,39.05079100749376
470,N201803332,2,39.13405495420483
471,N201406074,2,39.217318900915906
472,N201400893,2,39.30058284762698
473,N201803964,2,39.383846794338055
474,N201706998,2,39.467110741049126
475,N201804888,2,39.550374687760204
476,N201807347,2,39.633638634471275
477,N200304353,2,39.716902581182346
478,N201506622,2,39.800166527893424
479,N201405421,2,39.883430474604495
480,N201507075,2,39.96669442131557
481,N201806718,2,40.049958368026644
482,N201807350,2,40.13322231473772
483,N200200756,2,40.21648626144879
484,N200603230,2,40.29975020815987
485,N199702270,2,40.38301415487094
486,N201804353,2,40.46627810158201
487,N201803799,2,40.54954204829309
488,N201502433,2,40.63280599500416
489,N201101562,2,40.71606994171524
490,N201807157,2,40.79933388842631
491,N198507945,2,40.88259783513739
492,N201807068,2,40.96586178184846
493,N201606239,2,41.04912572855954
494,N200504401,2,41.13238967527061
495,N201700699,2,41.21565362198168
496,N199402356,2,41.29891756869276
497,N201402464,2,41.38218151540383
498,N199803949,2,41.46544546211491
499,N201403279,2,41.54870940882598
500,N200302801,2,41.631973355537056
501,N201806418,2,41.71523730224813
502,N200903189,2,41.798501248959205
503,N201900011,2,41.881765195670276
504,N201702120,2,41.96502914238135
505,N201705314,2,42.048293089092425
506,N201900036,2,42.131557035803496
507,N201204512,2,42.214820982514574
508,N201805133,2,42.298084929225645
509,N201205688,2,42.38134887593672
510,N201004076,2,42.464612822647794
511,N200803270,2,42.54787676935887
512,N201604693,2,42.63114071606994
513,N199802420,2,42.714404662781014
514,N201401810,2,42.79766860949209
515,N201700027,2,42.88093255620316
516,N201501780,2,42.96419650291424
517,N200503450,2,43.04746044962531
518,N201303893,2,43.13072439633639
519,N201602984,2,43.21398834304746
520,N198412339,2,43.29725228975854
521,N201602978,2,43.38051623646961
522,N201203081,2,43.46378018318068
523,N201601545,2,43.54704412989176
524,N201301183,2,43.63030807660283
525,N199804148,2,43.71357202331391
526,N201805475,2,43.79683597002498
527,N201702665,2,43.88009991673606
528,N200906032,2,43.96336386344713
529,N201804656,2,44.046627810158206
530,N201805326,2,44.12989175686928
531,N201601495,2,44.21315570358035
532,N201603432,2,44.296419650291426
533,N198902201,2,44.3796835970025
534,N201201963,2,44.462947543713575
535,N201807091,2,44.546211490424646
